ship_city,ship_state,ship_postal_code,ship_country
MUMBAI,MAHARASHTRA,400081.0,IN
BENGALURU,KARNATAKA,560085.0,IN
NAVI MUMBAI,MAHARASHTRA,410210.0,IN
PUDUCHERRY,PUDUCHERRY,605008.0,IN
CHENNAI,TAMIL NADU,600073.0,IN
GHAZIABAD,UTTAR PRADESH,201102.0,IN
CHANDIGARH,CHANDIGARH,160036.0,IN
HYDERABAD,TELANGANA,500032.0,IN
HYDERABAD,TELANGANA,500008.0,IN
Chennai,TAMIL NADU,600041.0,IN
NOIDA,UTTAR PRADESH,201303.0,IN
Amravati.,MAHARASHTRA,444606.0,IN
MUMBAI,MAHARASHTRA,400053.0,IN
GUNTAKAL,ANDHRA PRADESH,515801.0,IN
JAIPUR,RAJASTHAN,302020.0,IN
NEW DELHI,DELHI,110074.0,IN
Gurgaon,HARYANA,122004.0,IN
BENGALURU,KARNATAKA,560017.0,IN
TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN
BENGALURU,KARNATAKA,560040.0,IN
HYDERABAD,TELANGANA,500072.0,IN
pune,MAHARASHTRA,411044.0,IN
TEZPUR,ASSAM,784001.0,IN
RANCHI,JHARKHAND,834002.0,IN
BILASPUR,CHHATTISGARH,495001.0,IN
PUNE,MAHARASHTRA,411052.0,IN
BENGALURU,KARNATAKA,560037.0,IN
GUWAHATI,ASSAM,781003.0,IN
THIRUVARUR,TAMIL NADU,613704.0,IN
LUCKNOW,UTTAR PRADESH,226010.0,IN
VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN
JEYPUR,ODISHA,764001.0,IN
HYDERABAD,TELANGANA,500028.0,IN
LUCKNOW,UTTAR PRADESH,226016.0,IN
CHENNAI,TAMIL NADU,600033.0,IN
NEW DELHI,DELHI,110092.0,IN
THIRUVANANTHAPURAM,KERALA,695011.0,IN
GREATER NOIDA,UTTAR PRADESH,201306.0,IN
JABALPUR,MADHYA PRADESH,482002.0,IN
MUMBAI,MAHARASHTRA,400092.0,IN
LUCKNOW,UTTAR PRADESH,226017.0,IN
MUMBAI,MAHARASHTRA,400076.0,IN
KOLKATA,WEST BENGAL,700014.0,IN
ONGOLE,ANDHRA PRADESH,523001.0,IN
SECUNDERABAD,TELANGANA,500017.0,IN
HYDERABAD,TELANGANA,500062.0,IN
KEWALPUR,UTTAR PRADESH,271881.0,IN
CUTTACK,ODISHA,753012.0,IN
BADLAPUR,MAHARASHTRA,421503.0,IN
dimapur,NAGALAND,797112.0,IN
BENGALURU,KARNATAKA,560047.0,IN
BENGALURU,KARNATAKA,560076.0,IN
WARANGAL,TELANGANA,506001.0,IN
DHAULPUR,RAJASTHAN,328024.0,IN
GUWAHATI,ASSAM,781029.0,IN
Bengaluru,KARNATAKA,560103.0,IN
BENGALURU,KARNATAKA,560023.0,IN
NAGPUR,MAHARASHTRA,440022.0,IN
THANE,MAHARASHTRA,400607.0,IN
Dahod,Gujarat,389151.0,IN
RANCHI,JHARKHAND,834004.0,IN
PUNE,MAHARASHTRA,411014.0,IN
VIJAPURA,KARNATAKA,586201.0,IN
CHENNAI,TAMIL NADU,600041.0,IN
MUMBAI,MAHARASHTRA,400080.0,IN
bangalore,KARNATAKA,560001.0,IN
BENGALURU,KARNATAKA,560098.0,IN
BERHAMPUR,ODISHA,760002.0,IN
HYDERABAD,TELANGANA,500085.0,IN
PUNE,MAHARASHTRA,411045.0,IN
HIMMATNAGAR,Gujarat,383001.0,IN
Kolkata,WEST BENGAL,700048.0,IN
HYDERABAD,TELANGANA,502032.0,IN
DEHRADUN,UTTARAKHAND,248001.0,IN
KOLKATA,WEST BENGAL,700078.0,IN
DHARMAPURI,TAMIL NADU,636705.0,IN
DEHRADUN,UTTARAKHAND,248005.0,IN
JAIPUR,RAJASTHAN,303905.0,IN
VADODARA,Gujarat,390019.0,IN
CHAVAKKAD,KERALA,680506.0,IN
PATNA,BIHAR,800026.0,IN
CHENNAI,TAMIL NADU,600028.0,IN
VADODARA,Gujarat,390018.0,IN
VADODARA,Gujarat,390003.0,IN
PUNE,MAHARASHTRA,411046.0,IN
Jammu,JAMMU & KASHMIR,180011.0,IN
bangalore,KARNATAKA,560026.0,IN
NEW DELHI,DELHI,110036.0,IN
NARNAUND,HARYANA,125039.0,IN
Ahmedabad,Gujarat,380051.0,IN
AMBARNATH,MAHARASHTRA,421502.0,IN
GWALIOR,MADHYA PRADESH,474005.0,IN
NEW DELHI,DELHI,110078.0,IN
