order_id,fulfilled_by
405-8078784-5731545,Easy Ship
171-9198151-1101146,Easy Ship
404-0687676-7273146,unknown
403-9615377-8133951,Easy Ship
407-1069790-7240320,unknown
404-1490984-4578765,unknown
408-5748499-6859555,unknown
406-7807733-3785945,Easy Ship
407-5443024-5233168,unknown
402-4393761-0311520,unknown
407-5633625-6970741,unknown
171-4638481-6326716,unknown
405-5513694-8146768,Easy Ship
408-7955685-3083534,unknown
408-1298370-1920302,Easy Ship
403-4965581-9520319,Easy Ship
406-9379318-6555504,unknown
405-9013803-8009918,unknown
402-4030358-5835511,Easy Ship
405-5957858-1051546,unknown
405-0607769-0716360,unknown
404-8494550-5860325,unknown
171-1305077-2813934,unknown
404-6019946-2909948,Easy Ship
402-3384087-4005164,unknown
405-8191138-5176316,Easy Ship
403-9230474-9657916,Easy Ship
408-3484251-6901959,unknown
405-7755803-4729935,unknown
404-5933402-8801952,Easy Ship
171-9040274-9291563,unknown
403-7056319-0979561,unknown
404-9632124-1107550,Easy Ship
402-1465437-0579556,Easy Ship
404-7774085-3780319,unknown
402-2764952-1492318,Easy Ship
406-0272200-7784379,unknown
403-4367956-2849158,unknown
403-4242957-8599555,unknown
408-7165704-5643524,unknown
402-8210765-3935569,unknown
406-7398201-3869914,Easy Ship
408-3478480-0881162,unknown
402-7595162-9129931,unknown
171-6876154-6233146,unknown
408-3917043-5314763,unknown
408-9281152-6213100,unknown
403-3496411-3082707,unknown
171-9208368-0157156,Easy Ship
408-2137113-0982751,unknown
402-3628566-9688333,unknown
408-7138000-9728362,unknown
402-1752649-2274748,unknown
402-7944191-1869101,unknown
407-4063876-9566742,unknown
403-0752752-4656334,unknown
406-8879861-2081117,unknown
406-8089333-7941903,unknown
171-3072652-6805159,unknown
171-2592464-6846743,Easy Ship
404-2262140-4696366,unknown
405-3594372-1614709,unknown
407-2974257-4781134,unknown
171-4137548-0481151,unknown
405-4461562-9113959,unknown
404-4535078-5241919,unknown
405-8387725-2971512,unknown
405-6480932-8759528,unknown
405-9966506-3155561,Easy Ship
408-7029737-8028367,unknown
407-2189901-7515567,Easy Ship
402-2105657-2899562,unknown
406-1326801-8886709,Easy Ship
408-7760667-5809130,unknown
405-8457623-9269955,unknown
408-6820155-3521913,unknown
403-6190683-2687538,unknown
408-4069830-3819562,unknown
171-7367545-7081126,unknown
404-6522553-9345930,Easy Ship
403-9950518-0349133,unknown
407-6599093-6553153,Easy Ship
403-3763475-2237125,unknown
405-1492294-0323520,unknown
403-1162895-2484367,Easy Ship
171-6833843-5473114,unknown
403-1477057-8253913,unknown
408-2114413-6089906,unknown
405-1879750-2639521,Easy Ship
406-5727754-5302723,unknown
405-0901744-8270705,unknown
405-9112089-3379536,unknown
408-6357132-2310703,unknown
406-5334922-9670748,unknown
402-8519791-3706738,unknown
408-1830318-0357940,unknown
406-5103760-7326749,unknown
402-7841951-1872363,unknown
408-7698765-2294756,Easy Ship
404-1856281-9996319,Easy Ship
406-5406738-7113145,unknown
405-5257740-5301158,Easy Ship
405-2072502-4089911,unknown
405-0882561-5952340,unknown
403-7266170-1163500,Easy Ship
405-8114272-1687512,unknown
171-6138639-1478731,unknown
405-4059216-4541150,unknown
405-1152015-7333945,unknown
406-0177436-6731556,unknown
406-0715107-8168308,unknown
403-0104882-7373900,unknown
405-3002282-6797102,unknown
407-8466904-3461908,unknown
171-3305587-5364338,unknown
406-8961316-8137943,Easy Ship
171-2813040-8296320,unknown
408-9845791-1393151,unknown
402-4277204-2348328,unknown
171-3049339-2085136,unknown
405-9928526-2470747,unknown
405-4908072-0260360,Easy Ship
406-3984186-5973150,unknown
171-8635309-7508346,unknown
171-0293372-4913973,unknown
402-8288606-4313118,unknown
402-8746990-6412346,unknown
402-0294212-5431551,unknown
406-1530134-2105912,unknown
403-5222550-4437140,unknown
408-1482435-5202714,Easy Ship
403-6442534-2769112,unknown
408-3113070-0750756,unknown
404-7796841-1880317,unknown
405-2142542-0941949,unknown
405-0286717-7761132,unknown
406-9021273-9221106,unknown
404-5381335-4577925,unknown
171-0131752-2560336,Easy Ship
407-4235449-1353916,Easy Ship
171-8061614-5688327,unknown
407-8248783-4261958,unknown
404-6513062-3876305,Easy Ship
406-7779874-9136347,unknown
406-9638549-1733961,unknown
407-8801185-0134713,unknown
171-3625443-6505905,unknown
402-8078642-8565124,unknown
402-2820441-9623566,unknown
171-4312987-5366767,unknown
403-5189998-9343503,unknown
407-9863928-5979501,Easy Ship
171-4644162-9093116,Easy Ship
406-0974406-3179521,unknown
402-0048138-1845122,unknown
407-6283946-7749133,unknown
407-0542879-1795554,Easy Ship
406-0218328-1773963,unknown
407-3742007-3242711,unknown
405-3067317-3360344,unknown
406-5648244-8317954,unknown
171-3460653-0171519,unknown
404-5337874-2284337,unknown
405-2660443-4165145,Easy Ship
402-3329522-2367566,unknown
406-3078054-1755513,unknown
171-4647176-6456305,unknown
408-5011528-8276347,unknown
407-4097885-3129958,Easy Ship
171-1224053-5752314,Easy Ship
406-2849582-6531553,unknown
407-5875767-6399551,unknown
171-6336729-6763536,unknown
404-3907920-5281963,unknown
408-7310428-6047538,unknown
403-2608092-6065935,unknown
404-9760385-9109154,unknown
