ship_postal_code,order_id
400081.0,405-8078784-5731545
560085.0,171-9198151-1101146
410210.0,404-0687676-7273146
605008.0,403-9615377-8133951
600073.0,407-1069790-7240320
201102.0,404-1490984-4578765
160036.0,408-5748499-6859555
500032.0,406-7807733-3785945
500008.0,407-5443024-5233168
600041.0,402-4393761-0311520
600073.0,407-5633625-6970741
201303.0,171-4638481-6326716
444606.0,405-5513694-8146768
400053.0,408-7955685-3083534
400053.0,408-1298370-1920302
515801.0,403-4965581-9520319
302020.0,406-9379318-6555504
110074.0,405-9013803-8009918
122004.0,402-4030358-5835511
560017.0,405-5957858-1051546
620018.0,405-0607769-0716360
560040.0,404-8494550-5860325
500072.0,171-1305077-2813934
411044.0,404-6019946-2909948
784001.0,402-3384087-4005164
834002.0,405-8191138-5176316
495001.0,403-9230474-9657916
411052.0,408-3484251-6901959
560037.0,405-7755803-4729935
781003.0,404-5933402-8801952
613704.0,171-9040274-9291563
226010.0,403-7056319-0979561
530016.0,404-9632124-1107550
764001.0,402-1465437-0579556
500028.0,404-7774085-3780319
226016.0,402-2764952-1492318
600033.0,406-0272200-7784379
110092.0,403-4367956-2849158
695011.0,403-4242957-8599555
201306.0,408-7165704-5643524
482002.0,402-8210765-3935569
400092.0,406-7398201-3869914
226017.0,408-3478480-0881162
400076.0,402-7595162-9129931
700014.0,171-6876154-6233146
523001.0,408-3917043-5314763
500017.0,408-9281152-6213100
500062.0,403-3496411-3082707
271881.0,171-9208368-0157156
753012.0,408-2137113-0982751
421503.0,402-3628566-9688333
797112.0,408-7138000-9728362
560047.0,402-1752649-2274748
560076.0,402-7944191-1869101
506001.0,407-4063876-9566742
328024.0,403-0752752-4656334
781029.0,406-8879861-2081117
560103.0,406-8089333-7941903
500072.0,171-3072652-6805159
560023.0,171-2592464-6846743
440022.0,404-2262140-4696366
201306.0,405-3594372-1614709
400607.0,407-2974257-4781134
389151.0,171-4137548-0481151
834004.0,405-4461562-9113959
411014.0,404-4535078-5241919
560040.0,405-8387725-2971512
586201.0,405-6480932-8759528
600041.0,405-9966506-3155561
400080.0,408-7029737-8028367
560001.0,407-2189901-7515567
560098.0,402-2105657-2899562
760002.0,406-1326801-8886709
500085.0,408-7760667-5809130
411045.0,405-8457623-9269955
784001.0,408-6820155-3521913
383001.0,403-6190683-2687538
700048.0,408-4069830-3819562
502032.0,171-7367545-7081126
248001.0,404-6522553-9345930
500072.0,403-9950518-0349133
700078.0,407-6599093-6553153
636705.0,403-3763475-2237125
248005.0,405-1492294-0323520
303905.0,403-1162895-2484367
390019.0,171-6833843-5473114
680506.0,403-1477057-8253913
800026.0,408-2114413-6089906
600028.0,405-1879750-2639521
390018.0,406-5727754-5302723
390003.0,405-0901744-8270705
411046.0,405-9112089-3379536
180011.0,408-6357132-2310703
560026.0,406-5334922-9670748
110036.0,402-8519791-3706738
125039.0,408-1830318-0357940
380051.0,406-5103760-7326749
110036.0,402-7841951-1872363
421502.0,408-7698765-2294756
474005.0,404-1856281-9996319
110078.0,406-5406738-7113145
124001.0,405-5257740-5301158
